#    x_shift     y_shift   expansion         E_unrelaxed           E_relaxed
       0.125      0.0625         2.0       -460.92884693        -468.5865579
       0.125       0.125        -1.0         -372.464535       -461.69322837
       0.125       0.125        -0.5       -425.13185798       -470.41629233
       0.125       0.125         0.0       -451.70825506       -474.99743996
       0.125       0.125         0.5       -461.77117349       -476.57618156
       0.125       0.125         1.0       -463.33447415       -474.90249705
       0.125       0.125         1.5       -461.35341323       -472.55445853
       0.125       0.125         2.0        -458.2018309       -469.44312988
       0.125      0.1875        -1.0        -360.6054008        -461.9898191
       0.125      0.1875        -0.5       -405.36498361       -468.28672478
       0.125      0.1875         0.0       -433.09084386       -473.14764368
       0.125      0.1875         0.5       -448.37086851       -475.37116094
       0.125      0.1875         1.0       -454.77690415        -474.6306839
       0.125      0.1875         1.5       -455.71825456       -471.77217942
       0.125      0.1875         2.0       -454.51622443       -469.34665211
       0.125        0.25        -1.0        -361.0060274       -465.14947703
       0.125        0.25        -0.5       -403.92812285       -472.10266542
       0.125        0.25         0.0       -430.87160505         -475.453654
       0.125        0.25         0.5       -446.55090983       -475.73028874
       0.125        0.25         1.0       -453.55462293       -474.17745094
       0.125        0.25         1.5       -455.00858183       -470.72148757
       0.125        0.25         2.0       -454.10744328       -467.02166605
       0.125      0.3125        -1.0       -412.13599014       -467.31046124
       0.125      0.3125        -0.5       -441.06412556       -474.55867104
       0.125      0.3125         0.0       -455.56415811       -477.75060308
       0.125      0.3125         0.5       -461.14623375        -477.2828359
       0.125      0.3125         1.0       -461.82234497       -475.12772581
       0.125      0.3125         1.5       -460.16307294        -470.8892606
       0.125      0.3125         2.0       -457.24810232       -467.15166049
       0.125       0.375        -1.0       -414.94383041       -466.38024919
       0.125       0.375        -0.5       -449.32100699       -473.47965936
       0.125       0.375         0.0       -464.82932073       -477.50195522
       0.125       0.375         0.5       -468.97592126       -477.48787664
       0.125       0.375         1.0       -467.91807929         -475.116479
       0.125       0.375         1.5       -464.92594266       -472.48588394
       0.125       0.375         2.0       -460.68456176       -468.53472123
       0.125      0.4375        -1.0        -381.3291615       -462.52973338
       0.125      0.4375        -0.5       -431.71132873       -471.30245742
       0.125      0.4375         0.0       -456.58789724       -475.74890136
       0.125      0.4375         0.5       -465.20728376       -476.44001319
       0.125      0.4375         1.0       -465.76208917       -474.80290839
